case_id;area;test_id;variant_type;canonical_test_id;canonical_class;response_class;animal_jaccard;consistency_status
SEL_MUNG_001;MUNGITURA;SEL_MUNG_001_V0;canonical;SEL_MUNG_001_V0;results;results;;BASELINE
SEL_MUNG_002;MUNGITURA;SEL_MUNG_002_V0;canonical;SEL_MUNG_002_V0;results;results;;BASELINE
SEL_MUNG_003;MUNGITURA;SEL_MUNG_003_V0;canonical;SEL_MUNG_003_V0;results;results;;BASELINE
SEL_MUNG_004;MUNGITURA;SEL_MUNG_004_V0;canonical;SEL_MUNG_004_V0;results;results;;BASELINE
SEL_MUNG_005;MUNGITURA;SEL_MUNG_005_V0;canonical;SEL_MUNG_005_V0;narrative;narrative;;BASELINE
SEL_MUNG_006;MUNGITURA;SEL_MUNG_006_V0;canonical;SEL_MUNG_006_V0;results;results;;BASELINE
SEL_MUNG_007;MUNGITURA;SEL_MUNG_007_V0;canonical;SEL_MUNG_007_V0;results;results;;BASELINE
SEL_MUNG_008;MUNGITURA;SEL_MUNG_008_V0;canonical;SEL_MUNG_008_V0;results;results;;BASELINE
SEL_MUNG_009;MUNGITURA;SEL_MUNG_009_V0;canonical;SEL_MUNG_009_V0;no_data;no_data;;BASELINE
SEL_PROD_001;PRODUZIONE;SEL_PROD_001_V0;canonical;SEL_PROD_001_V0;results;results;;BASELINE
SEL_PROD_002;PRODUZIONE;SEL_PROD_002_V0;canonical;SEL_PROD_002_V0;narrative;narrative;;BASELINE
SEL_PROD_003;PRODUZIONE;SEL_PROD_003_V0;canonical;SEL_PROD_003_V0;results;results;;BASELINE
SEL_PROD_004;PRODUZIONE;SEL_PROD_004_V0;canonical;SEL_PROD_004_V0;results;results;;BASELINE
SEL_PROD_005;PRODUZIONE;SEL_PROD_005_V0;canonical;SEL_PROD_005_V0;results;results;;BASELINE
SEL_MAST_001;MASTITE;SEL_MAST_001_V0;canonical;SEL_MAST_001_V0;results;results;;BASELINE
SEL_MAST_002;MASTITE;SEL_MAST_002_V0;canonical;SEL_MAST_002_V0;results;results;;BASELINE
SEL_MAST_003;MASTITE;SEL_MAST_003_V0;canonical;SEL_MAST_003_V0;results;results;;BASELINE
SEL_MAST_004;MASTITE;SEL_MAST_004_V0;canonical;SEL_MAST_004_V0;no_data;no_data;;BASELINE
SEL_MET_001;METABOLICO;SEL_MET_001_V0;canonical;SEL_MET_001_V0;results;results;;BASELINE
SEL_MET_002;METABOLICO;SEL_MET_002_V0;canonical;SEL_MET_002_V0;narrative;narrative;;BASELINE
SEL_MET_003;METABOLICO;SEL_MET_003_V0;canonical;SEL_MET_003_V0;results;results;;BASELINE
SEL_MET_004;METABOLICO;SEL_MET_004_V0;canonical;SEL_MET_004_V0;narrative;narrative;;BASELINE
SEL_GEN_001;GENERICO;SEL_GEN_001_V0;canonical;SEL_GEN_001_V0;results;results;;BASELINE
SEL_GEN_002;GENERICO;SEL_GEN_002_V0;canonical;SEL_GEN_002_V0;results;results;;BASELINE
SEL_GEN_003;GENERICO;SEL_GEN_003_V0;canonical;SEL_GEN_003_V0;results;results;;BASELINE
SEL_GEN_004;GENERICO;SEL_GEN_004_V0;canonical;SEL_GEN_004_V0;results;results;;BASELINE
SEL_GEN_005;GENERICO;SEL_GEN_005_V0;canonical;SEL_GEN_005_V0;results;results;;BASELINE
